City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
oxford,51.75,-1.26,59.0,87.0,75.0,8.05,GB,1603227858.0
tocopilla,-22.09,-70.2,64.98,52.0,32.0,3.76,CL,1603227713.0
smithers,54.78,-127.17,33.8,61.0,75.0,3.36,CA,1603227946.0
fayaoue,-20.65,166.53,75.9,74.0,0.0,7.14,NC,1603228153.0
de-kastri,51.47,140.78,34.79,82.0,11.0,6.08,RU,1603228153.0
port shepstone,-30.74,30.45,67.14,70.0,100.0,11.43,ZA,1603228154.0
jatai,-17.88,-51.71,72.18,84.0,100.0,5.08,BR,1603228154.0
moose factory,51.26,-80.61,41.0,48.0,90.0,8.05,CA,1603228154.0
gasa,31.5,34.47,78.01,100.0,0.0,8.55,PS,1603228106.0
cheremshan,54.67,51.5,36.86,81.0,96.0,6.69,RU,1603228154.0
praia,14.92,-23.51,82.4,74.0,100.0,13.87,CV,1603228155.0
yalutorovsk,56.65,66.3,40.68,84.0,98.0,9.37,RU,1603228155.0
matara,5.95,80.54,77.86,88.0,13.0,9.64,LK,1603228155.0
shenzhen,22.55,114.07,71.01,74.0,64.0,1.99,CN,1603228008.0
okhotsk,59.38,143.3,24.75,81.0,98.0,10.76,RU,1603228155.0
yarada,17.65,83.27,82.4,94.0,40.0,2.24,IN,1603227720.0
bindura,-17.3,31.33,71.85,32.0,0.0,2.37,ZW,1603228156.0
barranca,-10.75,-77.77,66.6,71.0,14.0,8.66,PE,1603228156.0
vestmanna,62.16,-7.17,39.2,80.0,21.0,11.41,FO,1603228157.0
sobolevo,54.43,31.9,33.6,91.0,80.0,5.3,RU,1603227889.0
casambalangan,18.38,122.13,80.64,85.0,100.0,15.01,PH,1603228157.0
ibotirama,-12.19,-43.22,86.68,41.0,87.0,3.83,BR,1603228136.0
kamaishi,39.27,141.88,52.27,70.0,3.0,4.99,JP,1603227865.0
marsaxlokk,35.84,14.54,64.99,87.0,20.0,2.24,MT,1603227875.0
yavatmal,20.4,78.13,73.54,80.0,19.0,2.19,IN,1603228158.0
djougou,9.71,1.67,76.14,76.0,1.0,5.17,BJ,1603228158.0
cortes,41.94,-1.44,64.4,72.0,100.0,32.21,ES,1603228158.0
gulbene,57.18,26.75,37.27,92.0,100.0,4.21,LV,1603228158.0
odweyne,9.41,45.06,75.33,23.0,0.0,11.72,SO,1603227984.0
dunda,-8.12,34.25,73.69,51.0,70.0,4.83,TZ,1603228159.0
san jeronimo,-11.95,-75.28,62.15,43.0,62.0,7.72,PE,1603228159.0
dangriga,16.97,-88.23,87.8,70.0,40.0,6.93,BZ,1603228159.0
les cayes,18.2,-73.75,82.45,74.0,99.0,6.67,HT,1603228159.0
buala,-8.14,159.59,83.5,73.0,95.0,5.75,SB,1603228011.0
grand-santi,4.25,-54.38,89.49,38.0,94.0,2.39,GF,1603227934.0
nianzishan,47.52,122.88,45.88,67.0,100.0,13.31,CN,1603228160.0
rzhyshchiv,49.97,31.05,35.6,93.0,27.0,4.47,UA,1603228160.0
berlevag,70.86,29.09,37.4,78.0,90.0,10.29,NO,1603228160.0
samana,19.21,-69.34,86.0,79.0,75.0,6.93,DO,1603227989.0
umea,63.83,20.26,33.01,91.0,90.0,2.24,SE,1603228160.0
sawtell,-30.38,153.1,60.8,87.0,40.0,2.1,AU,1603228161.0
bay roberts,47.6,-53.26,55.99,93.0,96.0,14.0,CA,1603228161.0
agirish,61.92,63.02,27.7,99.0,59.0,4.79,RU,1603227999.0
fort-shevchenko,44.51,50.26,54.81,60.0,87.0,5.14,KZ,1603228161.0
manacor,39.57,3.21,66.2,88.0,20.0,8.05,ES,1603228161.0
tortoli,39.93,9.66,59.0,82.0,40.0,9.17,IT,1603228162.0
alexandria,31.22,29.96,78.8,65.0,0.0,9.17,EG,1603228162.0
balaguer,41.79,0.81,62.01,82.0,41.0,19.46,ES,1603228162.0
salalah,17.02,54.09,80.6,51.0,70.0,2.24,OM,1603227995.0
sassandra,4.95,-6.08,76.35,87.0,63.0,6.02,CI,1603228162.0
kon tum,14.35,108.0,70.72,92.0,100.0,1.86,VN,1603228163.0
tonota,-21.48,27.48,79.79,16.0,0.0,7.65,BW,1603228163.0
chernyakhiv,50.46,28.67,41.07,85.0,69.0,6.17,UA,1603228163.0
vilyuysk,63.76,121.62,17.8,97.0,86.0,3.42,RU,1603228163.0
tahe,52.33,124.73,31.46,97.0,51.0,2.48,CN,1603228163.0
obregon,11.96,-85.96,82.4,78.0,40.0,11.41,NI,1603228163.0
san vicente,-26.62,-54.13,72.82,74.0,74.0,3.74,AR,1603228164.0
salto,-31.38,-57.97,69.8,68.0,75.0,17.22,UY,1603227806.0
bontang,0.13,117.5,76.87,81.0,100.0,5.7,ID,1603228164.0
oussouye,12.48,-16.55,84.2,89.0,40.0,6.93,SN,1603228164.0
howard springs,-12.5,131.05,80.01,94.0,20.0,2.24,AU,1603228165.0
lima,-12.04,-77.03,68.0,68.0,19.0,9.17,PE,1603227806.0
boralday,43.36,76.86,42.8,48.0,0.0,2.24,KZ,1603227942.0
shakawe,-18.37,21.85,75.51,18.0,0.0,1.86,BW,1603228165.0
mahon,39.89,4.27,68.0,88.0,20.0,16.11,ES,1603228166.0
iralaya,15.0,-83.23,82.31,82.0,100.0,7.05,HN,1603227922.0
ellsworth,44.54,-68.42,59.0,93.0,90.0,10.29,US,1603228166.0
khash,28.22,61.22,46.6,40.0,0.0,4.16,IR,1603228166.0
minab,27.15,57.08,64.4,68.0,0.0,4.7,IR,1603228028.0
birjand,32.87,59.22,42.8,11.0,0.0,6.93,IR,1603227977.0
hobyo,5.35,48.53,80.1,81.0,0.0,18.86,SO,1603228167.0
fort smith,35.39,-94.4,82.0,61.0,90.0,6.62,US,1603228167.0
shalya,57.25,58.73,31.89,98.0,3.0,5.93,RU,1603228167.0
kodinsk,58.69,99.18,27.63,98.0,89.0,2.77,RU,1603228167.0
ziway,7.93,38.72,63.63,47.0,37.0,6.87,ET,1603228167.0
bukama,-9.2,25.85,73.49,76.0,62.0,7.34,CD,1603228168.0
gornozavodsk,58.38,58.32,29.64,99.0,56.0,5.08,RU,1603228168.0
groa,62.65,8.72,39.2,69.0,100.0,8.05,NO,1603228168.0
sechura,-5.56,-80.82,74.14,57.0,17.0,16.67,PE,1603227728.0
kalengwa,-13.47,25.0,70.07,23.0,0.0,4.18,ZM,1603228168.0
shimoda,34.67,138.95,55.0,82.0,9.0,1.99,JP,1603228169.0
onokhoy,51.93,108.07,19.4,79.0,20.0,6.71,RU,1603228169.0
matagami,49.75,-77.63,35.6,83.0,75.0,5.82,CA,1603228169.0
luzhou,28.87,105.44,56.32,91.0,72.0,2.39,CN,1603228169.0
bukoba,-1.33,31.81,68.67,82.0,89.0,4.47,TZ,1603228169.0
bethanien,-26.5,17.16,62.06,29.0,0.0,7.14,NA,1603227871.0
strezhevoy,60.73,77.59,33.8,100.0,90.0,4.47,RU,1603227959.0
kalashnikovo,57.28,35.23,30.69,97.0,86.0,7.38,RU,1603228170.0
eirunepe,-6.66,-69.87,89.11,52.0,94.0,3.98,BR,1603228170.0
zirandaro,18.45,-100.98,93.15,51.0,63.0,1.34,MX,1603228170.0
pinega,64.7,43.39,21.69,97.0,73.0,5.01,RU,1603228170.0
huangpi,30.88,114.38,59.0,82.0,100.0,6.71,CN,1603228171.0
srandakan,-7.94,110.25,77.94,86.0,100.0,3.98,ID,1603227860.0
chingola,-12.53,27.88,68.22,44.0,6.0,3.09,ZM,1603228171.0
catamarca,-28.47,-65.79,64.0,99.0,96.0,3.0,AR,1603228171.0
atzacan,18.9,-97.08,71.98,68.0,32.0,5.06,MX,1603228171.0
biltine,14.53,20.92,84.97,14.0,0.0,8.59,TD,1603228005.0
berezovyy,51.67,135.7,34.0,87.0,100.0,4.0,RU,1603228172.0
altamont,42.21,-121.74,75.0,37.0,1.0,4.7,US,1603228019.0
hay river,60.82,-115.8,23.0,85.0,75.0,17.22,CA,1603228172.0
waren,53.52,12.68,50.0,98.0,100.0,9.17,DE,1603228172.0
buchanan,5.88,-10.05,77.0,94.0,75.0,5.12,LR,1603227869.0
churapcha,62.0,132.43,13.05,96.0,100.0,4.52,RU,1603228173.0
killybegs,54.63,-8.45,54.0,97.0,95.0,3.0,IE,1603227932.0
preobrazheniye,42.9,133.91,51.31,81.0,78.0,1.7,RU,1603228173.0
vuktyl,63.86,57.31,28.26,99.0,95.0,4.36,RU,1603228173.0
graaff-reinet,-32.25,24.53,55.99,53.0,0.0,1.99,ZA,1603228173.0
dodge city,37.75,-100.02,62.6,51.0,1.0,3.36,US,1603228174.0
victor harbor,-35.57,138.62,57.0,85.0,89.0,5.26,AU,1603228174.0
beni mazar,28.5,30.8,76.19,40.0,0.0,8.21,EG,1603228174.0
totness,5.88,-56.32,83.03,77.0,72.0,14.27,SR,1603228174.0
norsup,-16.07,167.38,77.0,94.0,90.0,7.87,VU,1603227995.0
tura,25.52,90.22,72.07,92.0,0.0,2.89,IN,1603227974.0
bubaque,11.28,-15.83,82.56,80.0,5.0,13.98,GW,1603228175.0
tommot,58.96,126.29,25.18,97.0,100.0,3.24,RU,1603227873.0
santa isabel do rio negro,-0.41,-65.02,86.25,64.0,95.0,6.15,BR,1603228175.0
tazovskiy,67.47,78.7,20.79,98.0,100.0,13.58,RU,1603228176.0
jose de freitas,-4.76,-42.58,102.2,21.0,44.0,4.7,BR,1603228176.0
amga,60.9,131.96,19.54,97.0,100.0,3.13,RU,1603227885.0
umm lajj,25.02,37.27,84.31,34.0,0.0,8.59,SA,1603228176.0
itarema,-2.92,-39.92,79.41,73.0,28.0,17.83,BR,1603228177.0
turbat,26.0,63.04,71.6,18.0,0.0,8.55,PK,1603228125.0
bima,-8.47,118.72,77.32,83.0,73.0,3.62,ID,1603228177.0
mahbubabad,17.62,80.02,74.37,90.0,100.0,1.97,IN,1603228177.0
krasnoselkup,65.7,82.47,24.17,98.0,100.0,10.02,RU,1603228177.0
ugoofaaru,5.67,73.0,81.59,81.0,99.0,13.0,MV,1603228178.0
gavle,60.67,17.14,41.0,98.0,100.0,5.01,SE,1603228178.0
zheleznodorozhnyy,55.75,38.0,37.4,74.0,75.0,11.18,RU,1603228178.0
billings,45.78,-108.5,37.99,80.0,75.0,11.41,US,1603227888.0
san rafael del sur,11.85,-86.44,82.4,78.0,40.0,11.41,NI,1603228179.0
palaikastron,35.2,26.25,66.0,67.0,72.0,7.0,GR,1603228179.0
castelldefels,41.28,1.97,69.8,83.0,75.0,10.29,ES,1603228179.0
taunggyi,20.78,97.03,57.34,100.0,71.0,2.42,MM,1603227964.0
erzurum,40.0,41.5,46.4,93.0,75.0,3.36,TR,1603228179.0
tete,-16.16,33.59,89.6,27.0,5.0,4.7,MZ,1603228180.0
taoudenni,22.68,-3.98,82.56,17.0,0.0,9.24,ML,1603227887.0
linhares,-19.39,-40.07,70.86,85.0,100.0,3.02,BR,1603228180.0
puerto escondido,15.85,-97.07,87.8,66.0,75.0,6.93,MX,1603228180.0
garh maharaja,30.83,71.91,71.94,21.0,0.0,6.58,PK,1603228180.0
huntingdon,52.33,-0.19,57.99,87.0,100.0,7.0,GB,1603228180.0
libenge,3.65,18.63,72.86,91.0,70.0,0.81,CD,1603228025.0
mpika,-11.83,31.45,71.19,47.0,53.0,8.93,ZM,1603228008.0
paka,4.64,103.44,77.0,100.0,50.0,3.4,MY,1603228181.0
neverkino,52.79,46.74,36.41,81.0,50.0,9.64,RU,1603228181.0
bratsk,56.13,101.61,28.4,92.0,97.0,6.71,RU,1603228181.0
yendi,9.44,-0.01,75.13,85.0,8.0,10.31,GH,1603228182.0
shetpe,44.17,52.12,45.75,77.0,86.0,5.99,KZ,1603228182.0
dunyapur,29.8,71.72,75.2,57.0,0.0,9.37,PK,1603228089.0
amod,21.98,72.9,84.11,73.0,55.0,3.33,IN,1603228182.0
tiarei,-17.53,-149.33,84.2,70.0,20.0,14.99,PF,1603227893.0
barbastro,42.04,0.13,60.8,63.0,90.0,24.16,ES,1603228182.0
pedernales,18.04,-71.74,82.4,74.0,40.0,11.41,DO,1603228183.0
filadelfia,39.95,-75.16,72.0,68.0,75.0,4.7,US,1603228183.0
bangolo,7.01,-7.47,71.8,93.0,2.0,1.07,CI,1603228183.0
arantangi,10.17,78.98,80.4,80.0,99.0,3.87,IN,1603228183.0
sidney,-33.87,151.21,64.0,77.0,20.0,16.11,AU,1603228082.0
kalos agros,41.1,24.08,57.2,71.0,20.0,5.82,GR,1603228184.0
kenai,60.55,-151.26,39.99,80.0,1.0,1.9,US,1603227896.0
hereford,52.06,-2.71,57.99,93.0,100.0,1.01,GB,1603228074.0
cedar city,37.68,-113.06,73.4,10.0,1.0,5.73,US,1603227849.0
parit buntar,5.13,100.49,80.6,88.0,40.0,5.82,MY,1603228086.0
nikel,69.41,30.22,32.0,98.0,40.0,6.93,RU,1603228185.0
vagur,61.47,-6.81,45.86,70.0,18.0,29.28,FO,1603228185.0
rapid valley,44.06,-103.15,51.01,66.0,75.0,21.92,US,1603228185.0
caxito,-8.58,13.66,77.0,83.0,20.0,8.05,AO,1603228185.0
tortosa,40.81,0.52,66.99,92.0,100.0,4.0,ES,1603228185.0
road town,18.42,-64.62,87.8,70.0,40.0,5.82,VG,1603228186.0
salou,41.08,1.14,66.99,93.0,75.0,8.05,ES,1603228186.0
cardston,49.2,-113.3,35.6,95.0,20.0,9.17,CA,1603228033.0
quixada,-4.97,-39.02,82.98,51.0,12.0,12.8,BR,1603228186.0
correntina,-13.34,-44.64,81.91,50.0,64.0,3.49,BR,1603228186.0
vilaka,57.18,27.67,37.87,93.0,100.0,4.21,LV,1603228186.0
ankazobe,-18.32,47.12,60.8,87.0,40.0,6.93,MG,1603228187.0
michigan city,41.71,-86.89,55.0,54.0,40.0,8.05,US,1603228187.0
lampa,-33.28,-70.9,81.0,24.0,0.0,16.11,CL,1603228187.0
sakaiminato,35.55,133.23,51.8,87.0,20.0,2.24,JP,1603227884.0
magaria,13.0,8.91,82.94,18.0,100.0,1.39,NE,1603228187.0
leeton,-34.57,146.4,55.0,100.0,100.0,3.0,AU,1603228188.0
slyudyanka,51.66,103.71,30.07,82.0,100.0,3.58,RU,1603228188.0
mocuba,-16.84,36.99,79.45,58.0,80.0,6.17,MZ,1603228188.0
grants,35.15,-107.85,78.8,8.0,1.0,5.82,US,1603228188.0
pampa,35.54,-100.96,80.6,36.0,1.0,13.87,US,1603228188.0
peleduy,59.63,112.74,24.24,96.0,100.0,7.81,RU,1603228189.0
sainte-marie,-20.9,55.55,75.2,60.0,20.0,12.75,RE,1603228189.0
hope,33.67,-93.59,87.01,49.0,57.0,4.0,US,1603228189.0
puerto ayacucho,5.66,-67.62,87.08,72.0,93.0,3.76,VE,1603228189.0
kobrinskoye,59.42,30.12,35.01,87.0,40.0,4.47,RU,1603228189.0
ust-omchug,61.15,149.63,10.47,89.0,26.0,1.54,RU,1603228190.0
slavutych,51.52,30.73,39.79,86.0,95.0,3.71,UA,1603228190.0
mahdalynivka,48.92,34.92,41.0,75.0,58.0,6.71,UA,1603228190.0
bor,56.36,44.07,33.8,90.0,90.0,6.71,RU,1603228190.0
pandamatenga,-18.53,25.63,76.24,18.0,0.0,5.59,BW,1603227857.0
verkhnyaya toyma,62.23,45.0,27.45,98.0,100.0,7.56,RU,1603228190.0
kudat,6.88,116.85,77.0,88.0,20.0,6.93,MY,1603227921.0
ambositra,-20.52,47.25,59.97,85.0,79.0,3.27,MG,1603228191.0
beaverlodge,55.22,-119.44,28.4,86.0,40.0,10.29,CA,1603228191.0
nazareno,25.38,-103.42,91.4,17.0,20.0,7.54,MX,1603228191.0
doka,13.52,35.77,79.47,35.0,0.0,0.16,SD,1603227924.0
kudahuvadhoo,2.67,72.89,82.27,79.0,100.0,12.48,MV,1603228012.0
hanna,51.63,-111.9,33.01,62.0,0.0,7.0,CA,1603228192.0
wakkanai,45.41,141.67,48.63,68.0,0.0,12.3,JP,1603228192.0
gisborne,-38.65,178.0,64.99,74.0,100.0,3.0,NZ,1603228174.0
sao gabriel da cachoeira,-0.13,-67.09,89.44,59.0,86.0,1.5,BR,1603228192.0
mukhen,48.1,136.1,41.22,65.0,97.0,7.76,RU,1603228193.0
la asuncion,11.03,-63.86,93.2,49.0,14.0,12.75,VE,1603227960.0
yining,29.04,114.56,56.95,92.0,100.0,1.99,CN,1603227929.0
karapyshi,49.64,30.79,42.12,81.0,14.0,3.49,UA,1603228194.0
savannah bight,16.45,-85.85,81.91,79.0,66.0,15.37,HN,1603228195.0
watertown,42.37,-71.18,69.8,73.0,90.0,4.7,US,1603228195.0
redmond,47.67,-122.12,57.99,80.0,72.0,2.53,US,1603227913.0
deputatskiy,69.3,139.9,10.02,97.0,100.0,2.82,RU,1603228196.0
nha trang,12.25,109.18,80.6,83.0,40.0,3.36,VN,1603228007.0
elliot,-31.33,27.85,46.36,92.0,42.0,5.84,ZA,1603228196.0
overyata,58.09,55.87,35.6,100.0,75.0,6.71,RU,1603228196.0
rydultowy,50.06,18.42,46.99,84.0,99.0,1.99,PL,1603228196.0
ventspils,57.39,21.56,44.6,87.0,100.0,8.05,LV,1603228196.0
andenes,69.31,16.12,28.4,79.0,5.0,4.7,NO,1603228197.0
igarka,67.47,86.58,10.67,94.0,100.0,5.68,RU,1603228197.0
tual,-5.67,132.75,80.31,83.0,100.0,15.21,ID,1603228197.0
agadir,30.42,-9.6,73.4,78.0,100.0,7.31,MA,1603228197.0
riyadh,24.69,46.72,69.8,21.0,0.0,5.82,SA,1603227840.0
kargasok,59.06,80.86,36.93,96.0,100.0,9.15,RU,1603228198.0
kamakhyanagar,20.93,85.55,75.9,82.0,38.0,3.53,IN,1603228198.0
sibu,2.3,111.82,75.2,94.0,40.0,4.7,MY,1603227906.0
sharjah,25.36,55.4,80.6,56.0,0.0,4.7,AE,1603227948.0
gumdag,39.21,54.59,57.29,88.0,18.0,5.1,TM,1603228198.0
manokwari,-0.87,134.08,78.93,73.0,50.0,4.65,ID,1603227991.0
palmerston,-12.49,130.98,80.01,94.0,20.0,2.24,AU,1603228199.0
normandin,48.83,-72.53,41.0,75.0,75.0,10.29,CA,1603228199.0
opuwo,-18.06,13.84,66.09,33.0,0.0,4.03,NA,1603228199.0
tongren,27.72,109.19,52.93,85.0,91.0,0.81,CN,1603227909.0
yima,34.74,111.88,60.01,99.0,38.0,8.59,CN,1603228200.0
lipin bor,60.26,37.98,32.54,96.0,52.0,15.14,RU,1603228200.0
sambava,-14.27,50.17,75.34,81.0,100.0,14.27,MG,1603227881.0
las cruces,32.31,-106.78,88.0,6.0,1.0,4.7,US,1603228200.0
borisoglebskiy,57.26,39.15,33.8,86.0,75.0,11.18,RU,1603228200.0
lyngseidet,69.58,20.22,24.8,92.0,1.0,6.93,NO,1603228201.0
paramonga,-10.67,-77.83,67.41,70.0,19.0,9.17,PE,1603228201.0
hostotipaquillo,21.07,-104.07,84.99,45.0,0.0,1.99,MX,1603228201.0
bamako,12.65,-8.0,80.6,57.0,60.0,5.82,ML,1603228021.0
filingue,14.35,3.32,93.85,18.0,4.0,4.45,NE,1603228202.0
metu,8.3,35.58,56.35,98.0,30.0,2.68,ET,1603228202.0
oil city,41.43,-79.71,53.01,93.0,90.0,3.36,US,1603228202.0
pudozh,61.81,36.53,30.36,97.0,85.0,6.69,RU,1603228203.0
whitehorse,60.72,-135.05,21.2,62.0,75.0,8.05,CA,1603227943.0
balma,43.61,1.5,64.99,72.0,100.0,29.97,FR,1603228203.0
ukiah,39.15,-123.21,91.0,20.0,1.0,8.43,US,1603228147.0
voh,-20.97,164.7,75.52,63.0,24.0,2.84,NC,1603227870.0
nioki,-2.72,17.68,71.04,97.0,53.0,1.74,CD,1603228204.0
aswan,24.09,32.91,79.66,25.0,0.0,3.87,EG,1603227984.0
baghdad,33.34,44.4,69.8,32.0,0.0,8.05,IQ,1603227937.0
bandipur,27.93,84.42,59.2,88.0,0.0,2.95,NP,1603228204.0
dumbea,-22.15,166.45,77.0,65.0,14.0,2.24,NC,1603228204.0
marakkanam,12.2,79.95,80.01,81.0,100.0,3.02,IN,1603228205.0
gravelbourg,49.88,-106.55,27.23,93.0,100.0,16.11,CA,1603228205.0
kitgum,3.28,32.89,66.69,96.0,96.0,4.5,UG,1603228205.0
darovskoy,58.77,47.96,33.76,91.0,93.0,7.47,RU,1603228205.0
zaraza,9.35,-65.32,83.77,88.0,100.0,1.34,VE,1603228205.0
chabahar,25.29,60.64,71.6,64.0,0.0,4.29,IR,1603228206.0
tsukumi,33.07,131.86,55.0,80.0,60.0,1.99,JP,1603228206.0
curico,-34.98,-71.23,77.0,29.0,0.0,11.41,CL,1603228120.0
ferme-neuve,46.7,-75.45,42.21,76.0,95.0,3.47,CA,1603228206.0
pokaran,26.92,71.92,83.43,17.0,0.0,7.81,IN,1603228206.0
vanino,49.09,140.25,33.12,85.0,21.0,2.3,RU,1603228207.0
aripuana,-9.17,-60.63,91.85,45.0,95.0,2.59,BR,1603227914.0
alugan,12.22,125.48,79.45,85.0,100.0,8.16,PH,1603228207.0
ponorogo,-7.87,111.46,77.63,83.0,68.0,0.96,ID,1603228207.0
shurugwi,-19.67,30.01,69.06,23.0,0.0,3.53,ZW,1603228207.0
pronsk,54.1,39.61,34.0,84.0,20.0,11.65,RU,1603228208.0
topolobampo,25.6,-109.05,99.0,46.0,5.0,10.29,MX,1603228208.0
la ronge,55.1,-105.28,26.6,58.0,90.0,4.7,CA,1603227765.0
samarinda,-0.5,117.15,72.79,90.0,100.0,1.74,ID,1603228144.0
national city,32.68,-117.1,78.01,60.0,20.0,11.41,US,1603228208.0
coahuayana,18.73,-103.68,84.2,66.0,40.0,11.41,MX,1603227996.0
ranong,9.97,98.63,77.58,82.0,91.0,1.28,TH,1603227794.0
chiclana,-35.73,-61.75,64.47,48.0,36.0,10.67,AR,1603228209.0
gondanglegi,-7.75,112.01,76.86,82.0,85.0,0.94,ID,1603228209.0
karimganj,24.87,92.35,73.35,96.0,22.0,3.33,IN,1603228209.0
launceston,-41.45,147.17,51.01,87.0,100.0,6.93,AU,1603227700.0
manta,-0.95,-80.73,84.2,58.0,20.0,13.87,EC,1603228209.0
emmett,43.87,-116.5,63.0,46.0,68.0,7.38,US,1603227932.0
elat,29.56,34.95,84.2,58.0,0.0,6.93,IL,1603228210.0
sao miguel do araguaia,-13.28,-50.16,86.05,44.0,99.0,0.54,BR,1603228210.0
cutlerville,42.84,-85.66,51.01,61.0,75.0,12.75,US,1603228210.0
nizwa,22.93,57.53,68.94,23.0,0.0,3.02,OM,1603228210.0
galle,6.04,80.22,79.54,85.0,12.0,11.83,LK,1603228211.0
batagay-alyta,67.8,130.41,9.05,88.0,82.0,1.28,RU,1603227993.0
suntar,62.14,117.63,16.86,97.0,82.0,3.89,RU,1603228060.0
pyapon,16.28,95.68,75.88,96.0,100.0,10.8,MM,1603228211.0
santa rosa,14.31,121.11,78.8,88.0,90.0,3.36,PH,1603228211.0
